3,S,1
0.5,S,1
0.5,S,1
1,M,0
0.5,M,1
0.5,M,2
0.5,M,3
0.5,M,4
1,M,6
1,S,3
0.5,S,3
0.5,S,3
0.5,M,5
0.5,M,6
1,S,2
0.5,S,2
0.5,S,2
0.5,M,5
0.5,M,6
5,B,2
20,S,1
0.5,S,1
0.5,S,1
0.5,S,1
1,M,0
0,M,1
2,L,2
2,S,3
0.5,S,3
0.5,S,3
1,M,6
0.5,M,6
2,L,2
1,S,1
0,S,2
0,S,3
1,M,0
0,M,4
0.5,M,5
0.5,M,6
2,L,2
1,S,2
0.5,S,2
0.5,S,2
0.5,M,5
0.5,M,6
20,B,2
3,S,1
1,M,0
0,M,1
2,L,2
2,S,3
0.5,S,3
0.5,S,3
0.5,S,1
0.5,S,1
0.5,S,1
1,M,6
0.5,M,6
2,L,2
1,S,1
0,S,2
0,S,3
1,M,0
0,M,4
0.5,M,5
0.5,M,6
2,L,2
1,S,2
0.5,S,2
0.5,S,2
0.5,M,5
0.5,M,6
1,S,1
0,S,2
0,S,3
1,M,0
0,M,4
20,B,2
